#Network | Station | Latitude | Longitude | Elevation | SiteName | StartTime | EndTime
NZ|MTPS|-43.584671|172.725601|448.000000|Mount Pleasant|2012-03-01T00:00:00|
NZ|MTVZ|-39.384608|175.470410|840.000000|Mangateitei|2005-03-15T00:00:00|
NZ|MTW|-41.157926|175.501574|311.000000|Mount Morrison|1979-06-29T00:00:00|
NZ|MUGZ|-38.477100|176.770500|337.000000|Murupara|2011-03-29T00:00:00|
NZ|MWDS|-39.406938|175.752648|849.000000|Moawhango Dam|2004-06-08T00:00:00|
NZ|MWFS|-37.859141|176.668880|59.000000|Matata Watchorn Farm|2006-07-20T00:00:00|
NZ|MWOZ|-39.397377|174.087001|410.000000|Mangawhero Road|2023-04-18T03:01:00|
NZ|MWZ|-38.334001|177.527779|573.000000|Matawai|2004-02-29T00:00:00|
NZ|MXZ|-37.562259|178.306631|106.000000|Matakaoa Point|2004-02-29T00:00:00|
NZ|MYRZ|-37.280209|176.240997|356.000000|Mayor Island|2004-05-24T00:00:00|
NZ|NA002|-39.156415|175.634722|2280.000000|Ngauruhoe Outer Rim Fumarole|2021-05-06T00:00:00|
NZ|NAAS|-39.468735|176.872021|2.000000|Napier Airport|2012-10-10T00:00:00|
NZ|NAPT|-39.475661|176.920066|0.000000|Napier|2007-09-12T00:00:00|
NZ|NBEZ|-39.267950|173.867600|185.000000|Newall Road Borehole|2012-10-16T00:00:00|
NZ|NBLC|-43.506859|172.731354|1.000000|New Brighton Library|2008-05-08T00:00:00|
NZ|NBRT|-43.505969|172.734992|0.000000|New Brighton Pier|2021-05-14T02:07:00|
NZ|NBSS|-41.202272|174.953755|0.000000|St Bernadette's School|2011-06-21T00:00:00|
NZ|NCBS|-41.270874|173.283675|7.000000|Nelson Council Building|2002-10-07T00:00:00|
